Designator,Footprint,Quantity,Value,LCSC Part #
"C1101, C1102, C1103, C1112",0402,4,3.3nF,C26404
"C1104, C1105, C1106, C1107",0402,4,220pF,C1530
"C1113, C1114, C1115, C1116, C1204, C1205, C1206, C1207, C602, C606, C607, C608, C609, C610, C624, C901",0402,16,100nF,C1525
"C1201, C1202, C1208, C1210",0402,4,4.7uF,C23733
C1203,0603,1,10uF/10V,C19702
C1209,1808,1,220pF/2kV,C2940747
C202,0603,1,22uF,C59461
C203,0402,1,1uF,C52923
C304,1206,1,47uF/6.3V,C96123
C402,0603,1,4.7uF/16V,C19666
"C501, C502",0603,2,100nF/50V,C14663
"C503, C715",0805,2,1uF/50V,C28323
"C601, C604, C612, C614, C705, C706",0603,6,33pF/50V,C1663
"C603, C605, C613, C615, C702, C703",0402,6,33pF,C1562
C611,0603,1,68nF,C31658
"C620, C621, C622, C623",0402,4,10nF,C15195
"C701, C801",0402,2,10uF,C15525
"C704, C707, C708, C709, C710, C711, C712, C714, C803",1206,9,10uF/50V,C13585
C713,0402,1,4.7nF/50V,C1538
C716,1206,1,4.7uF/50V,C29823
C802,0603,1,1nF/50V,C1588
"D1001, D1002",0603,2,GREEN LED,C965804
"D1101, D1102",SOT-323_SC-70,2,BAT54A,C78261
"D1103, D1104, D1105, D1113, D603, D604, D605, D611",SOT-323_SC-70,8,BAT54S,C12741
"D201, D303, D701",D_SOD-123,3,B5819W,C8598
D301,D_SMB,1,SMBJ33CA,C114000
"D401, D402, D403, D503, D504, D903, D904, D905",0402,8,ESD5451N,C2936977
D501,0603,1,BLUE LED,C84266
D502,0603,1,RED LED,C2286
D801,SOT-23,1,SM24CANB,C41376477
F301,1812,1,mSMD050-60V,C70113
F401,1206,1,BSMD1206-100-6V,C883129
"FB401, FB701, FB704, FB801",0805,4,GZ2012D601TF,C1017
"FB601, FB602, FB603, FB604, FB702, FB703",0805,6,GZ2012D101TF,C1015
"H1001, H1002",MountingSlot_3.2mm_M3_Unplated,2,MountingHole,
"J1103, J1104, J1105, J1106, J604, J605, J606, J607","PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical",8,Conn_01x02,C8396
"J1201, J302",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
J201,PinHeader_2x10_P2.54mm_Vertical,1,GPIO,
J401,USB_Micro-B_Wuerth_614105150721_Vertical,1,USB_B_Micro,C145795
J602,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,C124386
J702,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,C124413
J801,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,C49257
J802,"PhoenixContact_MCV_1,5_4-G-3.81_1x04_P3.81mm_Vertical",1,Conn_01x04, C8410
"JP1101, JP1102, JP1103, JP1104, JP1105, JP1106, JP1107, JP1108, JP1109, JP1110, JP1111, JP1112, JP601",SolderJumper-2_P1.3mm_Open_TrianglePad_Narrow,13,SolderJumper_2_Open,
"JP602, JP604, JP605",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,3,Open,
JP603,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,1,Bridged,
"L1201, L1202",0805,2,CMH201209B4R7MT,C394959
L301,SMMS0650-1R0M,1,SMMS0650-470M,C149588
L701,1210,1,NLCV32T-100K-EFR,C295195
PS1201,Converter_DCDC_Murata_MEE1SxxxxSC_THT,1,B0305S-1WR3,C7465186
"Q401, Q402",SOT-23,2,S8050,C2146
"Q601, Q602, Q603, Q604",SOT-323_SC-70,4,"BC856BW,115",C28063
"R1001, R1002",0402,2,1.5k,C25867
"R1101, R1102, R1104, R1105, R613, R614, R616, R618",0603,8,20k,C4184
"R1103, R201, R213, R401, R402, R503, R612",0402,7,10k,C25744
"R1106, R1107, R1108, R1109",0402,4,100k,C25741
R1201,0402,1,330R,C25104
"R1202, R1203, R501, R502, R701, R702",0402,6,2k,C4109
"R601, R602",0805,2,240R,C17572
"R603, R604, R605, R606, R611",0402,5,1k,C11702
"R607, R608, R609, R610",0603,4,30,C22985
"R615, R617, R619, R621, R801",0402,5,2.2k,C25879
R703,0603,1,4.7R,C23164
R802,0805,1,100R,C17408
"SW501, SW502",SW_SPST_TL3342,2,SW_Push,C318887
"U1101, U1102, U1103, U1104",SOT-353_SC-70-5,4,74LVC1G17,C212314
U1201,SOIC-16_4.55x10.3mm_P1.27mm,1,π140U30,C910134
U1202,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO1540,C179739
U1203,SOT-23-3,1,XC6206P332MR,C5446
U201,ESP32-WROOM-32,1,ESP32-WROOM-32E-N16,C701343
U202,SOP-8_3.9x4.9mm_P1.27mm,1,XL1509-3.3,C2681226
U401,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U501,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230DR,C12084
U601,SOIC-14_3.9x8.7mm_P1.27mm,1,LMV324,C362275
U602,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593
