Designator,Mid X,Mid Y,Rotation,Layer
C1101,106.725,-94.6,180.0,top
C1102,116.95,-94.6,180.0,top
C1103,127.155,-94.6,180.0,top
C1104,96.5,-93.65,0.0,top
C1105,106.7,-93.625,0.0,top
C1106,116.9,-93.625,0.0,top
C1107,127.1,-93.625,0.0,top
C1112,96.52,-94.6,180.0,top
C1113,96.52,-92.65,180.0,top
C1114,106.725,-92.65,180.0,top
C1115,116.9,-92.65,180.0,top
C1116,127.125,-92.65,180.0,top
C1201,145.0,-79.0,180.0,top
C1202,136.42,-92.35,180.0,top
C1203,132.62,-90.15,90.0,top
C1204,135.4,-65.8,180.0,top
C1205,136.0,-64.3,180.0,top
C1206,141.5,-64.3,0.0,top
C1207,142.2,-65.8,0.0,top
C1208,142.8,-79.0,180.0,top
C1209,138.6,-79.4,180.0,top
C1210,134.4,-79.0,0.0,top
C202,170.0,-65.4,180.0,top
C203,169.285,-87.535,270.0,top
C304,125.8,-112.385,0.0,top
C402,156.5,-96.3,90.0,top
C501,166.75,-102.15,180.0,top
C502,170.35,-108.4,90.0,top
C503,170.55,-104.6,270.0,top
C601,91.8,-71.7,180.0,top
C602,141.35,-98.84,270.0,top
C603,99.55,-72.45,0.0,top
C604,102.1,-71.4,180.0,top
C605,109.7,-72.39,0.0,top
C606,91.0,-68.3,270.0,top
C607,101.2,-68.2,270.0,top
C608,111.4,-68.5,270.0,top
C609,121.6,-68.2,270.0,top
C610,121.7,-66.3,180.0,top
C611,132.49,-67.2,270.0,top
C612,112.2,-71.7,180.0,top
C613,119.85,-72.4,0.0,top
C614,122.4,-71.6,180.0,top
C615,130.1,-72.44,0.0,top
C616,172.7422,-75.5,90.0,top
C620,100.05,-70.95,270.0,top
C621,110.2,-70.9,270.0,top
C622,120.35,-70.91,270.0,top
C623,130.6,-70.95,270.0,top
C624,133.0,-62.0,90.0,top
C701,151.998,-93.766,0.0,top
C702,146.29,-93.785,180.0,top
C703,150.123,-93.8625,180.0,top
C704,154.18,-95.547,90.0,top
C705,144.385,-96.35,90.0,top
C706,148.195,-96.25,90.0,top
C707,117.55,-101.725,90.0,top
C708,119.95,-101.725,90.0,top
C709,122.4,-101.7,90.0,top
C710,124.9,-103.1,90.0,top
C711,127.375,-103.1,90.0,top
C712,129.975,-103.1,90.0,top
C713,111.0,-109.8,270.0,top
C714,106.0,-111.2,90.0,top
C715,108.8,-107.8,0.0,top
C716,113.0,-107.6,0.0,top
C717,138.75,-112.0,270.0,top
C718,142.0,-112.0,270.0,top
C719,135.5,-112.0,270.0,top
C720,134.2,-94.45,0.0,top
C721,131.0,-86.01,270.0,top
C801,148.022,-105.437,270.0,top
C802,145.9255,-106.122,0.0,top
C803,149.8,-107.7,180.0,top
C901,165.2,-91.95,0.0,top
CR501,175.65,-74.9,270.0,top
D1001,134.1,-102.9,0.0,top
D1002,140.1,-102.9,180.0,top
D1101,157.3,-89.55,90.0,top
D1102,167.35,-89.55,90.0,top
D1103,101.8,-93.4,90.0,top
D1104,112.0,-93.4,90.0,top
D1105,122.2,-93.45,90.0,top
D1113,91.6,-93.4,90.0,top
D201,112.8,-112.4,0.0,top
D301,101.2,-112.6,0.0,top
D303,104.6,-107.6,180.0,top
D401,146.2,-98.5,0.0,top
D402,150.0,-98.5,0.0,top
D403,154.2,-98.5,0.0,top
D501,175.2,-104.9,180.0,top
D502,175.2,-102.8,180.0,top
D503,145.3175,-110.8,0.0,top
D504,147.75,-110.8,0.0,top
D603,109.0,-68.6,180.0,top
D604,119.2,-68.6,180.0,top
D605,129.4,-68.6,180.0,top
D611,98.8,-68.6,180.0,top
D701,124.85,-108.35,270.0,top
D801,110.85,-99.25,180.0,top
D903,170.5,-97.2,270.0,top
D904,171.8,-94.8,270.0,top
D905,171.8,-96.7,90.0,top
F301,99.2,-108.4,180.0,top
F401,171.5135,-100.584,90.0,top
F501,174.6672,-71.1,0.0,top
F502,174.6422,-67.2,0.0,top
FB401,169.3545,-99.8855,270.0,top
FB601,95.2,-70.85,0.0,top
FB602,105.4,-70.85,0.0,top
FB603,115.5,-70.8,0.0,top
FB604,125.7,-70.8,0.0,top
FB701,152.021,-96.1305,90.0,top
FB702,146.3,-96.1,90.0,top
FB703,150.1,-96.1,90.0,top
FB704,113.4,-105.45,180.0,top
FB801,150.2595,-105.541,180.0,top
G601,165.3,-109.25,0.0,bottom
J1103,94.2175,-87.7,0.0,top
J1104,104.3825,-87.7,0.0,top
J1105,114.5825,-87.7,0.0,top
J1106,124.7825,-87.7,0.0,top
J201,156.605,-61.405,90.0,top
J401,174.8575,-97.45,90.0,top
J402,173.8,-90.275,180.0,top
J501,114.3,-101.0,180.0,top
J602,101.81,-64.005,90.0,top
J604,104.3825,-77.4,180.0,top
J605,114.5825,-77.4,180.0,top
J606,94.1825,-77.4,180.0,top
J607,124.7725,-77.4,180.0,top
J702,151.99,-102.225,270.0,top
J802,97.9825,-101.6,180.0,top
JP1,149.0,-83.9,180.0,top
L1201,143.8625,-80.4,180.0,top
L1202,133.4,-80.4,180.0,top
L301,119.7,-109.05,270.0,top
L701,108.8,-111.2,90.0,top
PS1201,138.5975,-82.9575,270.0,top
Q401,164.15,-89.55,270.0,top
Q402,160.5,-89.55,270.0,top
Q601,95.2,-68.6,0.0,top
Q602,105.4,-68.6,0.0,top
Q603,115.6,-68.6,0.0,top
Q604,125.8,-68.6,0.0,top
R1001,136.075,-103.1,90.0,top
R1002,138.0625,-103.1,90.0,top
R1101,93.75,-93.65,90.0,top
R1102,103.95,-93.65,90.0,top
R1103,155.45,-88.8,90.0,top
R1104,114.125,-93.65,90.0,top
R1105,124.3,-93.65,90.0,top
R1106,95.05,-94.1,90.0,top
R1107,105.25,-94.1,90.0,top
R1108,115.425,-94.1,90.0,top
R1109,125.6,-94.1,90.0,top
R1201,134.475,-92.35,0.0,top
R1202,128.0,-64.1,90.0,top
R1203,128.0,-61.7,270.0,top
R201,170.385,-87.56,90.0,top
R204,137.06,-94.43,90.0,top
R205,144.24,-93.87,270.0,top
R206,144.23,-91.95,90.0,top
R213,141.35,-100.84,90.0,top
R401,161.15,-91.95,0.0,top
R402,163.2,-91.95,180.0,top
R403,172.569208,-86.875,180.0,top
R404,172.594208,-84.975,180.0,top
R501,172.549,-104.9,0.0,top
R502,172.55,-103.4,0.0,top
R503,132.0,-102.0,90.0,top
